data,IT
"#вакансия #удаленка #projectmanager 

Привет! 🙂 Мы ищем Project Manager'а в команду SkyСoach.

🔹Позиция: Project Manager
🔹 Компания: SkyСoach (https://skycoach.gg/)
🔹 Сфера: коучинг, внутриигровые услуги в киберспорте. Полный матч, если ты любишь играть в WOW, LoL, Dota, CS и т4 (но не обязательно) и интересуешься киберспортом. В команде разработки сейчас 8 разработчиков, 2 тимлида, 1 дизайнер, 1 PM. Количество крупных задач и гипотез, которые мы прорабатываем уже настолько большое, что нам нужен ещё один человек в помощь PM-у. Мы живём метриками, ключевыми показателями, короткими итерациями и планированием с чётким горизонтом.
🔹 Ключевые задачи: 
— Аналитика, сбор и анализ требований к продукту;
— Доведение процесса от идеи до реализации, анализ результатов;
— Руководство группой разработки, ведение проекта к его целям;
— Плотная работа с дизайнером по новому функционалу, прототипирование интерфейсов;
— Подготовка ТЗ, ведение документации по проекту, постановка задач;
— Планирование ресурсов, контроль сроков и качества;
— Предоставление отчётности по проекту.

🔹 Требования:
— Успешный опыт работы в больших интернет-проектах или сильных аутсорсинговых компаниях;
— Опыт применения и внедрения разных методологий разработки;
— Умение ставить задачи и планировать сроки выполнения;
— Понимание принципов юзабилити и опыт в проектировании пользовательских интерфейсов;
— Понимание целей проекта и опыт выстраивания продуктовой стратегии.
Технологии: Jira(+JQL), Confluence, Figma, Miro, MS Project. 
Будет плюсом: SQL, базово HTML+CSS+JS, console web-kit-browsers.

🔹 З/п: 70-120т.р.
🔹Формат: удалённо (часовой пояс не более +/- 2 часов от московского времени).
🔹Резюме+небольшое сопроводительное сюда: @tatianastarnova",1
"∪∪∪

GeekBrains ищет в команду EdTech-евангелиста. 

– Мы в поисках человека, влюбленного в онлайн-образование и нетворкинг. Настоящего супергероя с разветвленной сетью шпионских (зачеркнуто) теплых контактов в университетах, бизнесе и НКО. Ну или как минимум –  с пониманием, как эти контакты найти и что с ними делать.

Детали: hh.ru/vacancy/38740069 

Контакт: a.krivobokova@corp.mail.ru",0
"Ruby on Rails Developer
в Hoodies — небольшая распределенная команда веб-разработчиков, которая работает с зарубежными стартапами и диджитал агентствами.
Удалённая работа.
Описание вакансии https://is.gd/Yv1ciy
#rubyonrails #ror #ruby #developer #backend #вакансия #remotework",1
"Senior QA/QA Team Lead
в Bright Box — российская IT компания, специализирующаяся на разработке и внедрении IT решений в сфере Connected Car.
Москва, возможна релокация в Европу.
Описание вакансии https://is.gd/yZRrSa
Ищет Екатерина Полякова, её пост https://is.gd/uLz1Jv
#senior #qa #tester #teamlead #вакансия #москва",1
"🔘   Estet is looking for a Product Manager

▪️Salary: $900 - $1400
▪️Full Time jobs !
▪️Ukraine- Kyiv - Remote 
▪️Experience: from 1 year

🔘 Description
▫️координация отдела разработки полного цикла (back-end, front-end, dev-ops, QA, PM)
▫️ведения процесса разработки через SCRUM, планирование релизов
 MORE DETAILS...

Contact: @nsopelnik

#vacancy #Ukraine #Kyiv #Remote #from1k #Product_Manager #from1year #FullTime #jobitt
 
Создать Вакансию через бота",1
"#Вакансия #Москва #офис #удаленка #полныйдень #fulltime #IOS #swift

Город: Москва
Компаниия: KTS https://kts.studio/
Позиция: middle IOS-developer
График: 5/2, начало рабочего дня с 9 до 11
Зарплата: 140-200 net
Контакт для связи: @masha_kovylina, HR-менеджер

Привет! Мы KTS - небольшая московская компания, которая занимается заказной и продуктовой разработкой. Из своего - конструктор ботов и приложение для онлайн-обучения, а на заказ пишем разные полезные сервисы для больших компаний и маленьких стартапов, а еще разрабатываем механику и визуальную часть рекламных кампаний.  

Ищем в команду IOS-разработчика. Мобильная команда сейчас: 4 человека, включая руководителя: 2 IOS и 2 Android-разработчика.

Ближайшие проекты
-Доработка фичей собственного продукта для онлайн обучения
-Несколько новых проектов по заказной разработке на старте: приложения-агрегаторы, платформа для прокачки софт-скиллов, и дейтинговая платформа.

Какие задачи решать
-Помимо самой разработки, решение архитектурных вопросов, оценка задач, взаимодействие с менеджерами и дизайнерами. Обычно берем разработку с нуля
-Написание unit-тестов
-Code-review

Технологии проектов
RxSwift, Moya, Realm, Swinject, Alamofire, Kingfisher, SnapKit

Чем можем быть интересны
-У нас есть своя школа разработки, где можно стать преподавателем или ментором, а затем стать наставником стажеру
-У каждого человека есть наставник: коллега более старшего грейда, который помогает в развитии, ставит цели, проводит раз в полгода perfomance review
-Средний возраст команды 25 лет
-У нас уютный офис на Бауманской с верандой, которая летом превращается в полноценную event-площадку: тут и митапы, и шашлыки.

Мы в инстаграме: https://www.instagram.com/ktsmsk/
Наш телеграм-канал: https://t.me/ktsdaily
Наша страница на Хабр.карьере: https://career.habr.com/companies/ktsstudio",1
"Вакансии в Лайфхакер
🔹 Выпускающий редактор
🔹 Автор рубрики
🔹 SMM-специалист
🔹 Дизайнер спецпроектов
🔹 Frontend разработчик
🔹 Project manager
🔹 Sales manager
🔹 Менеджер по размещению медийной рекламы
Лайфхакер — лайфстайл-издание о продуктивности, здоровом образе жизни и вдохновении: обо всём, что делает жизнь лучше.
Москва / удаленная работа.
Ищет Оксана Запевалова, ее пост.

Больше вакансий из IT & Digital вы можете найти в наших тематических каналах",1
"#вакансия  #C_sharp #NetCore #Azure #dotnet #dotnet_core #разработчик #developer #senior #vacancy #remote 

Vacancy Senior .NET Core Developer
Up to 350 000rub netto 
Remote, Full Time

В компанию IT X100 пользователи услуг которой находятся более чем в 13 странах, приглашаем в свою команду 
Senior .Net Core Developer (Remote, Full-time)
Официальное оформление/ИП
Английский pre-intermediate +

Professional Skills:
5+ years of commercial experience as a .NET developer
• Experience with .NET Core (2.2 — 3.1), Web API, Redis
• Excellent knowledge of OOP, OOD, SOLID principles, architecture patterns, REST;
• Experience with microservices architecture
• Strong knowledge of SQL (system design, database project) and ORM technologies such as Entity Framework
• Experience with NoSQL (MongoDB)
• Experience in writing Unit tests
• Experience with Azure (Storage, KeyVault, SQL), Azure Service Bus, Azure WebJob, Azure Functions, Azure Monitor, Azure Application Insights

As a plus:
• Experience with authentication/authorization, oAuth, JWT Tokens, SSO
• Experience working with third-party libraries and APIs (Google API, Payment Gateways, etc.)

Responsibilities:
• Development of high-level architecture vision either for a product or specific feature;
• Write good effective and well-tested, reliable code
• Perform peer code review of project codebase changes
• Create unit and integration tests for the developed features
• Collaborate and communicate effectively with other members of the
development team during the Scrum meetings
• Participate (and contribute) in architecture design planning meetings
• Partner with team leads, product managers, and business stakeholders to solve business problems. This is typically accomplished by understanding business needs

We offer:
• Competitive income level
• Paid sick leaves and vacations
Our additional Benefits package:
• Corporate trainings for free
• Bonus system of options for efficient operation (RSU - Restricted Stock Units)

@Mila_TL",1
"#вакансия #developer #engineer
Deep learning Engineer
в Samsung SRR - лаборатория системного программного обеспечения является самым крупным и динамично развивающимся научно-исследовательским подразделением в ""Исследовательском центре Самсунг"".
Ищет Анна Перова, её пост http://amp.gs/CCWC
За успешную рекомендацию выплатят до 2500$.
Откликнуться можно на её почту A.perova@samsung.com",1
"#Javascript #React #Frontend #remote #удалённо #fulltime  #вакансия 

💻Вакансия: Frontend Developer (React)
🖥Формат работы: remote 
⏳Занятость: полная
💰З/п: от 60 000 до 140 000 в зависимости от опыта и скилов
🏢Компания:  UX Feedback

Проект: SaaS платформа изучения клиентского опыта UX Feedback

Привет!

Мы – продуктовая команда, создающая SaaS платформу UX Feedback, которая ежедневно помогает нашим клиентам слушать «голос» своих потребителей, задавай им правильные вопросы в правильное время. Каждый раз платформа помогает компаниям узнать от пользователей инсайты, которые они не планировали рассказывать . Это способствует тому, что на наших глазах бизнес начинает работать для клиента, а не вопреки ему.

Наши клиенты – это крупнейшие компании Авиакомпания России: Циан, Связной, Hoff, Askona, Горздрав, QIWI, Faberlic, Мвидео, Эльдорадо и многие другие.

Сейчас мы нуждаемся в  Frontend разработчике, который поможет нам развивать платформу дальше.  Будет работать в команде с 2 Backend разработчиками и 1 Frontend под руководством СТО. Так же в команде  UX Designer и Product Manager.

Мы стараемся ко всем процессам в нашей компании подходить максимально осознано, поэтому мы ищем человека, а не функцию! Надеюсь тебе будут близки наши ценности и идеи и ты захочешь присоединиться к нам и улучшать клиентский опыт в нашей стране и за рубежом. 

✅  Идеальный кандидат для нас:
- уверенное знание JavaScript, опыт работы 3+ лет
- имеешь опыт работы с React и экосистемой от года
- знаком с современными фронтенд-технологиями и подходами (ES2016+, Webpack, Babel, PostCSS, SCSS)
- умеешь верстать с использованием современных подходов
- пишешь автоматизированные тесты для фронтенда
- опыт с Git и Gitflow

🎯 Тебе предстоит заниматься:
- разработкой и поддержкой наших веб-интерфейсов (дашборды, виджеты)
- улучшением и оптимизацией текущего состояния проекта и его кодовой базы
- принимать участие в проектировании архитектуры проекта
- взаимодействовать с командой backend-разработки
- проводить code review
 
🎁 Будет плюсом:
- опыт настройки Webpack и Babel
- умеешь решать проблему, а не просто писать код
-понимание как работает http, опыт с REST API и/или GraphQL
 
⭐️ Что мы предлагаем:
Не просто команду, а ребят, которые гордятся тем, что они делают.
Непрерывное развитие собственных скиллов за счёт сложных и интересных задач. 
Возможность влиять на процессы, предлагать решения и мы обещаем, что ты будешь услышан!
Участие в жизни и развитии компании. Если тебе интересно, ты сможешь помогать на общих QBR собраниях определять как именно достигать поставленных целей по продукту.
Работа удаленно. 

📩По всем вопросам: @good01 или на почту e.prokofyev@uxfeedback.ru",1
"Product planning and Research senior specialist в KIA Motors

teletype.in/@dreamjob/lvZRiSA1y

Если вы текущий или бывший сотрудник компании KIA Motors, вы можете оставить отзыв о работодателе на сайте Dream Job: bit.ly/dj__kia",0
"#javascript #react  #msk
Проекты связаны с разработкой системы цифровой обработки и хранения научных статей.
Подробное описание вакансии вышлю по запросу.

Обязанности:
- проектирование и реализация лучших в отрасли информационных систем;
- развитие и углубление связей с коллегами за рубежом;
- инициативность в оптимизации и модернизации существующей экосистемы приложений компании.

Требования:
- опыт разработки на JavaScript от 2-х лет;
- опыт работы с React.js;
- работа на полный рабочий день, в офисе.

• Москва
• 150 000 - 230 000 руб.

Контакты:
@telelera",1
"#вакансия #project #director #chief
Project Director
в Делимобиль - сеть краткосрочного проката автомобилей.
Ищет Леонид Сысоев, его пост http://bit.ly/2GJIp9J
Откликнуться можно Леониду в личку

Больше вакансия для продактов и проджектов, смотрите в нашем канале For Products @Forproducts",1
"• Преподаватель Python в Алгоритмика, Галич (Костромская область)",1
"Digital-директор
в Шоу-школу — курсы для радиоведущих и телеведущих, в наставниках — адио и телеведущие ТОП-радиостанций.
Москва.
Описание вакансии http://amp.gs/Ra9a
#marketing #headofmarketing #вакансия #москва 

Больше вакансий в online маркетинге:
Telegram @forallmarketing
Facebook http://amp.gs/Ra9W",0
"Вакансии в SkillFactory
🔹Product manager
🔹Project manager
🔹Координатор онлайн-курсов
SkillFactory — школа программирования и data science, одна из самых быстрорастущих компаний в сфере EdTech.
Москва.
Ищет Александр Турилин, его пост https://is.gd/IGK8Qv
Откликаться на на hr@skillfactory.ru
#project #product #вакансия #москва",1
"#Тестировщик #Екатеринбург #вакансия #работа
Тестировщик 1С / QA-инженер
Город: Екатеринбург м. Геологическая
Компания: розничная сеть «Галамарт»
Оклад: 60000 - 80000

Чем предстоит заниматься:
Анализировать требования и проектную документацию;
Проектировать тесты (тест-планы, чек-листы…);
Готовить тестовую среду к испытаниям (тестовые данные, настройка);
Проводить тестирование различных видов и уровней;
Обеспечивать своевременную эскалацию проектных рисков;
Готовить и проводить демонстрации результатов разработки;
Участвовать в полевых испытаниях, опытно-промышленной эксплуатации и первичной поддержке проектных изменений.

Требования:
Практический опыт тестирования различных программных продуктов (Приветствуется опыт работы с 1С и не только);
Опыт работы с реляционными БД;
Внимательность к деталям и тестируемым задачам.

Ссылка на вакансию
https://ekaterinburg.hh.ru/vacancy/37366728

E- mail: rabota12@galamart.ru
Контакт для связи
@aleksandr_HR",1
"#вакансия #удалёнка #IOS #Swift #SOLID #KISS #YAGNI

Ищу сильного IOS-разработчика  в компанию Techno Diasoft.
Techno Diasoft - 10 лет на рынке, работают с крупными заказчиками и самыми крутыми проектами в РФ. Не иллюзорная возможность поучаствовать в проектах главного банка страны!

Основные направления, это: 📱
— NLP платформа и сервисы синтеза/распознавания голоса для всего Банка
— Сервисы лицевой голосовой биометрии для Банка
— Разработка устройств умного дома.

Задачи: 🎆
Написание сервисов с 0 и доработка текущих, биометрические лимиты, канальные доработки, задачи как по UI, так и back, клиент-серверное взаимодействие

Тебе подойдет если:🏄🏻‍♂️
— Есть знания Swift
— Умение отличать односвязный список от массива
— Понимание REST API и MQTT для удаленного управления устройствами
— Умение работать со сторонними библиотеками
— способность отличить Фабричный Метод от Абстрактной фабрики и Строителя
— Знание архитектуры (MVC, MVP, MVVM, Clean), понимаешь разницу между ними и имеешь свою точку зрения
— SOLID, KISS, YAGNI не просто аббревиатуры, а кодекс чести

Будет плюсом: 🥇
— опыт работы с HomeKit и/или SiriKit
— опыт с  Xcode Instruments, знание как искать утечки памяти, измерять перформанс и время старта приложения  
— опыт Unit/UI тесты, понимаешь зачем это нужно
— Понимание концепции CI/CD
— Стремление к перфекционизму в области UI

Что дадут: 🔥
— Удалёнка или офис
— Вилка от 200 до 270
— ДМС со стоматологией и страховкой;
— Льготное кредитование от партнеров, рассрочка и материальная помощь от компании;
— Корпоративные мероприятия 2 раза в год, подарки детям;
— Полное соблюдение ТК РФ, <белая> заработная плата.
— Компенсация обучения;
— Участие в профильных конференциях.


Нравиться описание и задачи, хочешь дальше? Напиши мне, напиши! 
Юлия 🙋🏻‍♀️ tg / @gera5999 или 📬 gera7661@gmail.com",1
"​​Профессия: Тестировщик.

Напоминаем, что 20 февраля поговорим в New.HR подкасте с Алексеем Петровым про:
▪️ Когда бизнесу нужно тестирование?
▪️ А если нет денег?
▪️ Какие задачи решают тестировщики?
▪️ Как их оценивать и нанимать?
▪️ Тренды в тестировании.
▪️ Можно ли автоматизировать тестирование на 100%?

Спикер: Алексей Петров, эксперт в тестировании, Head of QA FunCorp, автор проекта по карьере для QA: RFT.QA, ранее работал в Mail.Ru Group, IVI.

🙋‍♂️ Регистрация на онлайн-трансляцию: https://is.gd/dVjk0Q
🔊 Трансляция пройдет 20 февраля в 19:00 (четверг).
🔗 Ссылку на трансляцию мы пришлем в почту и в наш чат за несколько часов до начала.
📍 Ссылку на чат вы найдете тут: podcast.new.hr
❓ Во время онлайн-трансляции вы сможете задавать вопросы нашему гостю.
💾 Запись подкаста будет доступна через пару дней. Мы выложим её в наш блог, сайт и ТГ-чат.
🎁 Предыдущие выпуски наших подкастов мы можете найти здесь: podcast.new.hr",0
"#вакансия #Laravel #middle #senior #fullstack #удаленно #helloprint

⚡️Fullstack Middle Developer в стартап HelloPrint ⚡️

Полная занятость, полный день
Опыт разработки от 2х лет на Laravel
З/п: 100 000 - 200 000 руб. net.

Мы - растущая IT компания EnjoyLab. Разрабатываем облачную ERP систему для типографий HelloPrint.

Сайт компании:
https://helloprint.ru

Документация по продукту:
https://conf.hello-print.ru/display/HelloPrintDocs

Сотрудничаем с компанией Ricoh (мировой поставщик оборудования для типографий):
https://www.ricoh.ru/about-us

Описание компании:
Платформа HelloPrint автоматизирует взаимодействие с клиентом, управление производством, оплату, логистику и многое другое.
Система успешно внедрена в крупной типографии mdmprint.ru, сейчас мы активно подключаем к продукту новых клиентов.

Наш стек:  
Laravel, MariaDB, Redis, Docker, Prometheus, PHP, JS, VueJS, Bitbucket, Jira, Dockerhub, Confluency, Bamboo, Slack, Kubernates, AWS, Redis, GIT.

Мы ищем:
Middle / Senior разработчика, который сможет укрепить нашу команду.

Функции:

- Доработка существующих и написание новых модулей системы;
- Поддержка существующего и развитие API (RESTful);
- Оптимизация производительности системы;
- Рефакторинг и работа с техническим долгом;

Необходимые навыки:

- Опыт разработки на PHP;
- Понимание архитектуры основных шаблонов проектирования;
- Понимание принципов SOLID;
- Опыт работы с бэкэндом на Laravel;
- Понимание принципов отказоустойчивости при работе с данными;
- Опыт работы с системами очередей;
- Опыт работы с RESTful API;
- WebSockets, REST, JSON, Webpack (Yarn);
- Опыт работы с Git;
- Опыт написания и применения Unit тестов;

Условия:

- Удаленная работа 5/2;
- Гибкий график;
- Своевременная выплата зарплаты 2 раза в месяц;
- Интересные задачи, возможность влиять на процесс и результат;
- Сильная команда, с которой можно профессионально расти;

💼 Чтобы попасть в команду, нужно прислать резюме, примеры своего кода и пройти собеседование. 

❗️По всем вопросам ЛС телеграм @yurykov",1
"#вакансия #cto #blockchain 
CTO
в LAToken - это блокчейн-платформа, которая токенизирует активы, начиная с ценных бумаг и заканчивая недвижимостью и произведениями искусства, и организует торговлю токенами на первой в мире блокчейн-бирже, где реальные активы можно купить за криптовалюту. 
Описание вакансии http://amp.gs/CS9Y
Откликнуться можно здесь http://amp.gs/CS98",1
"Product Owner
в SquareGPS разрабатывает современные IT-продукты для управления корпоративными мобильными ресурсами: транспортом, выездным персоналом и грузовой логистикой.
Екатеринбург.
Описание вакансии https://is.gd/LhXwyf
Откликаться на GeekJob.ru
#product #вакансия #екатеринбург",1
"Ищем  #Laravel developer 
- формат работы: #удаленка #fulltime   от 6ч до 8ч в день
- компания: qberry.com.ua
- зарплата от 10$\ч до 15$\ч (Мы даем тестовое задание, которое определяет вашу  ставку. Тестовое задание не зависимое от наших проектов, но оно оплачивается если Вы нам подходите, то есть оплата входит в последующие задачи)

Наш back-end стек: Laravel, docker, mysql, redis, nginx/caddy, REST API.
Наш front-end стек: html (sometimes pug), css (scss), js (es6/babel), jquery, vue / nuxt, REST API.

Мы ожидаем от Вас:
- от 18 лет
- опыт работы с php не менее 2 лет
- опыт работы с Laravel не менее 1 года
- опыт работы в команде используя git
- опыт создания REST JSON API
- опыт работы с внешними API (в т.ч. не имеющими библиотек для лары)
- базовый опыт работы с очередями (Laravel horizon желательно) и кешем (redis)
- умение и желание разбираться в чужом коде
- умение писать простой и понятный код, грамотно разделяя по компонентам/модулям/файлам
- умение быстро разбираться в новом при необходимости
- знание html/css/js/jquery на базовом уровне

Будет плюсом:
- понимание работы с docker/docker-compose
- опыт проектирования реляционных баз данных (mysql, грамотное разбиение на таблички, проставление индексов, понимание когда нужна нормализация или наоборот - денормализация)
- знание vue.js на базовом или выше уровне (осуществление мелких правок)
- знание СI\CD

За тестовым обращайтесь: @QberryPM",1
"Добрый день!

#вакансия 

Connect.Club — сервис для нетворкинга. Команда ищет сильного UX-дизайнера, который уже участвовал в разработке приложений для конференций, социальных сервисов, заметок или CRM.
Мы работаем по всему миру. Есть офисы в Санкт-Петербурге и Лимассоле.

Что нужно делать:
1 Помогать пользователям, делая сервис удобнее и понятнее;
2 Анализировать поведение и отзывы пользователей. На основе результатов понимать все сценарии и проектировать страницы в соответствии с ними;
3 Создавать однозначно трактуемые блок-схемы: прототипы и диаграммы связей — для UI-дизайнера и разработчиков;
4 Уметь работать в команде с общей целью;
5 Работать усердно и быть готовым к большим объёмам работы.

Что ты получишь:
1 Зарплата зависит от навыков, упорства и стремлений, договоримся на собеседовании;
2 Официальное трудоустройство, белая зарплата;
3 Рабочий день с 11:00 до 20:00 по Московскому времени;
4 Выездные стратегические сессии на Кипре или в Санкт-Петербурге каждые 3 месяца;
5 Опционная программа.

Пишите, звоните: @a_anatolyevna +7 904 606 55 76 — Анна",1
"#Вакансия #Ремоут #Киев
Добрый день! Для израильской продуктовой компании мы ищем Senior Front End Developer. В проекте используется HTML5 / JavaScript / CSS3; основной уклон на React, важен опыт в разработке и масштабировании сложных Web-систем. Английский: Strong Intermediate. За подробностями пишите в личку!",1
"#Go #Golang  #backend #бекенд #разработчик #вакансия
Формат работы: В офисе
Компания: OZON (подробнее ниже)
Полная занятость
Страна: Россия 
Город: Москва, Санкт-Петербург, Екатеринбург, Самара, Казань, Нижний - Новгород и Новосибирск
🔥Что нужно делать:
🔹 Участвовать в разработке архитектурных решений;
🔹 Писать качественный, высокопроизводительный код на Go.

🔥От вас (если не совпадает несколько критериев - мы все равно рады рассмотреть Вашу кандидатуру!!):
🔹Владение языком Go или желание перейти на Go с C++, Java, C#, Python, PHP, Ruby и т.п.;
🔹Опыт написания тестов и тестируемого кода;
🔹Опыт работы с БД и знание SQL;

🔥От нас:
🔹Динамичный и быстроразвивающийся бизнес, ресурсы, возможность сделать вместе лучший продукт на рынке e-commerce;
🔹 Свободу действий в принятии решений;
🔹Достойный уровень заработной платы;
🔹Достойный уровень заработной платыПрофессиональную команду, которой мы гордимся;
🔹Возможность развиваться вместе с нашим бизнесом;
🔹Работа в офисах МСК и Питера, Екатерибурга, Самары и Казани, Нижний - Новгород и Новосибирск
О компании:
Ozon — одна из крупнейших российских e-commerce компаний. Мы начали строить бизнес в 1998 году — когда рунету было четыре года.
Успешный e-commerce — это давно не сайт с картинками, а технологическая компания. Чтобы миллионы пользователей могли делать сотни тысяч заказов в день и получать их вовремя, нужна ИТ-инфраструктура, которая способна все это поддерживать, да еще и с мощной инфраструктурой логистики.
В технологической лаборатории Ozon уже больше 1600 сотрудников — и мы продолжаем расти. У нас 7 фулфилмент-фабрик площадью 227 тысяч квадратных метров по полу, 43 сортировочных центра и более 10 тысяч точек выдачи заказов по всей стране.
Мы верим, что можем изменить подход к совершению покупок — сделать жизнь миллионов людей проще и удобнее, освобождая время для себя и своих близких и стремимся делать лучший в России e-commerce. Приходи делать его вместе с нами!

Мы находимся в поисках backend-разработчика в команду, которая отвечает за Ozon.Marketplace.
Это продукт, который позволяет различным компаниям зарегистрироваться на платформе и получить возможность размещать свои товары на ней, тем самым увеличить свой (и наш) доход.
Канал для связи и отправки резюме - Tg: @DianaHRDigital",1
