id,data,label
9898,"#вакансия #СПб #fulltime #dataengineer

Вакансия: Data Engineer
Компания: Quadcode
Город: Санкт-Петербург (ст. метро Новочеркасская)
Формат работы: офис
Вилка до 220 000 ₽ на руки

Основные задачи:
•  проектирование, разработка и поддержка архитектуры для анализа больших данных;
• написание ETL процедур;
• обеспечение полноты и консистентности аналитических данных.

Требования:
• знаешь и применял Реляционные БД (Greenplum,PostgreSQL,Oracle,MySQL,MsSQL);
• умеешь писать и оптимизировать SQL запросы;
• знаешь как работают индексы, планировщик запросов в Реляционных БД;
• имеешь опыт с OS Linux (Unix Based);
• знаешь про Docker(podman) и работал с ним (production опыт);
• имеешь опыт работы с сетевыми протоколами (TCP/UDP, HTTP,ICMP etc.);
• знаешь один или несколько языков программирования, регулярно применяешь их для production задач (Python,Scala/Java, Golang);
• знаешь алгоритмы по работе с данными (сортировка, поиск etc.).

Будет плюсом:
• опыт работы с NoSQL (Cassandra,Redis, Infinispan);
• опыт использования брокеров сообщений (Apache Kafka, Pulsar etc.).

Условия:
• трудоустройство, согласно ТК РФ;
• место работы в десяти минутах ходьбы от ст.м. Новочеркасская в офисе класса А+;
• питание: компенсация обедов, кухни с едой на каждом этаже;
• здоровье: ДМС со стоматологией, массажный кабинет в офисе;
• спорт: корпоративный спортзал с личным тренером, спортивные секции (футбол, баскетбол, волейбол);
• развитие: корпоративные тренинги, обучение английскому языку;
• работа в отличном коллективе, множество развлекательных мероприятий и возможность влиять на продукт.

Дополнительные условия для иногородних и иностранных кандидатов: 
• предоставление места проживания за счет компании в первый месяц работы;
• компенсация переезда;
• помощь в оформлении документов (для иностранных граждан).

Пишите и присылайте резюме: @gala_kr",Data Engineer
9899,"• Data Engineer Python / SQL в DataProf, Воронеж, 50 000 RUR",Data Engineer
9900,"Старший аналитик-консультант 1С ERP
Москва
Заработная плата 200 000 рублей в месяц (на руки) + годовой бонус
Инхаус (угольная компания)

Надо:
• Профильное высшее образование (эконом, бух, инф.технологии)
• Опыт описания бизнес-процессов, требований пользователей.
• Опыт написания пользовательской документации (желательно продемонстрировать примеры).
• Знание одной или нескольких предметных областей (регл.учет, упр.учет, склад, закупки, продажи, и т.д.).

И отлично, если:
• Знаете функциональные возможности платформы 1С 8;
• Имеете опыт работы с 1С:Документооборот;
• Умеете описывать бизнес-процессов с использованием нотации BPMN 2.0.
• Являетесь счастливым обладателем сертификатов по типовым конфигурациям 1С:ERP, 1С:ЗУП, 1С:БП, 1С:УТ

Даём:
• Локация Москва-сити,
• Расширенное ДМС
• ЗП от 200 кэс (после вычета) + премии по итогам года.
• График работы: с 9-00 до 18-00
• Оформление по ТК РФ 
#ngcon #IT #1CERP #ERP #1C #MOSCOW #JOB 

Контакты для связи
Телеграмм @tserzh
Почта ts@ngcon.ru",Консультант 1С
9901,"Manager people operations & services в PUMA (Москва)

Your mission will be: full cycle of HR administration processes for corporate office (130 employees) and administration and development of Workday HR system.

For successful employee important: have work experience in a similar position as a leading human resources manager from 2 years in large international companies and advanced english.

Подробнее по ссылке

#retail #middle #москва #PUMA",non-IT
9902,"Руководитель команды разработки (PHP, iOS, Android)
в Домиленд — разработчик системы для управления недвижимостью, которой пользуются жители, управляющие организации и поставщики услуг.
Москва.
Описание вакансии https://is.gd/6AzQ7L
#lead #php #developer #teamlead #вакансия #москва",Несколько вакансий
9903,"1.Руководитель проекта по внедрению 1С:Документооборота
2. Москва
3. Оклад до 240 000 ₽ net 
4  Инхаус, компания ""Мечел"" (www.mechel.ru); 
5. Опыт управления проектами на платформе 1С:Документооборот.
6. Управление проектной командой (аналитики, программисты);Постановка задач,контроль исполнения,управление сроками, бюджетом проекта,взаимодействие с внутренними Заказчиками,
7. В Команду цифровой трансформации  ""Мечел"" ищем человека который сможет возглавить масштабный проект (22 000 пользователей) по внедрению 1С:Документооборота на предприятиях группы компаний. 
8. ник в тг: @X0rey
9. #работа #itjob #1СДокументооборот
10.Ссылка на вакансию: https://hh.ru/vacancy/38713426
11 Почта для связи: andrey.ionov@mechel.com",Project-менеджер
9904,"Тестировщик развлечений в российский сервис бронирования ActiVilla (Санкт-Петербург)

Вакансия мечты для любителя активного отдыха, желающего посвятить свою жизнь развлечениям. 

Платформа онлайн-бронирования туров по России ActiVilla находится в поисках Тестировщика активностей, который будет несколько раз в неделю посещать дайвинг-центры, авиаклубы, квесты и другие подобные заведения и выносить своё экспертное мнение о качестве сервиса и самого развлечения.

Отклик найдёт физически выносливый экстремал, в одинаковой степени готовый прыгнуть с парашютом, сходить на урок балета или пройти самый страшный перфоманс-квест в городе. 

Все расходы на сами развлечения оплачиваются компанией.

Подробнее по ссылке

#ит #санктпетербург #ActiVilla",0
9905,"#Oracle #TCP/IP  #msk
Для реализации крупного проекта по внедрению единой биллинговой платформы #Amdocs ищет - Software Deployment Engineer 

Обязанности:
✅ установка, настройка, обновление среды для работы с решениями Amdocs
✅ интеграция решений с приложениями заказчика
✅ поддержка Linux серверов
✅ работа с сетью
✅ техническая поддержка и консульитрование команды заказчика в течение проекта

Требования:
✅ администрирование Unix/Linux 
✅ виртуализация (VMWare и др)
✅ TCP/IP
✅ Oracle/MS SQL/PostgreSQL
✳️ опыт интеграции BSS/OSS решений

• Москва
• до 190 000 руб/мес NET

Контакты:
@PhilippArtemyev
philipp.artemyev@amdocs.com",Software Deployment Engineer
9906,"·10·

Рекрутер направления «Программирование»

«Нетология» — крупнейшая в СНГ образовательная платформа digital-профессий. Мы строим новое образование России и верим, что за онлайн-обучением будущее. Журнал РБК причислил нас к ТОП-20 компаний, строящих новую экономику России.

Детали: geekjob.ru/hRww

Тестовое задание: docs.google.com/document/d/1NmuBzwucr_ZPl2YmWMzG5RXsJ0VZb-c1BWm3GT3tBpI/edit. 

Контакт для тестового: e.kulikova@netology.ru",IT-рекрутер
9907,"🔘 Playwing is looking for a DevOps Engineer

▪️Salary: $2500 - $3000
▪️Full Time jobs !
▪️Ukraine - Kharkiv - Office
▪️Experience: from 2 years
▪️English: Intermediate

🔘 Requirements
▫️ AWS services: AWS Elastic Beanstalk, ECS, ECR, RDS, S3, VPC, IAM, AWS cli
▫️Docker, Terraform, Ansible, Git
 MORE DETAILS

Contact: @Iryna_Playwing

#vacancy #Ukraine #Kharkiv #Office #from2k #DevOps_Sysadmin #from2years #engIntermediate #FullTime #jobitt
Создать Вакансию через бота","Инженер инфраструктуры, DevOps"
9919,"Motion designer
в Skillbox — онлайн-университет современных профессий.
Удаленная работа.
Ищет Анна Сурова, ее пост.

Больше вакансий в дизайне:
Telegram @fordesigner
Facebook",non-IT
9928,"Customer experience manager (junior)
в Capsula — это доставка одежды, персонально подобранной для клиента профессиональным стилистом.
Удаленная работа.
Описание вакансии.
Откликаться на GeekJob.ru

Больше вакансий в продажах и развитии бизнеса:
Telegram @forallsales
Facebook https://is.gd/56Qmdh",non-IT
9908,"#developer #reverse #engineer #vacancy #relocation #germany

Position: Reverse Engineer
Location: #Berlin , Germany 🇩🇪 
Format: office full-time
Salary: 75-120k euro. After 1 year - 120k guaranteed.

We're looking for smart, creative Reverse Engineers with a solid theoretical background for a company ""think-cell"". They will work largely independently and will be responsible for the whole range of activities when implementing a new feature. The developers should be able to look at a problem from the user's perspective and discuss abstract concepts with fellow developers. 

Team size: 20 developers reporting directly to CTO 
Language: fluent English is mandatory, German is a plus 
Working experience: binary code and malware analysis, IDA, security vulnerabilities, understand data structures and algorithms involving dozens of functions all from nothing but binary
Education: EU citizens/residence holders – any; others have to have a University degree (starting from Bachelor) so we can sponsor the work permit 

We accept different profiles for this position, disregarding the former specialization and years of experience. For think-cell, it is more important to evaluate the programming abilities rather than a nice resume and past projects.

contacts: @yussupovaida",Разработчик
9909,"#вакансия #офис #Москва #Функциональныйархитектор1С (МСФО, Консолидация)
 #можновремено 
Вакансия Функциональный архитектор 1С (МСФО, Консолидация)
Один из лидеров российского рынка информационных технологий- Крок. Вакансия в масштабном проекте по внедрению системы на базе 1С:ERP. Управление холдингом и на крупном территориально-распределенном производственном предприятии с участием фирмы «1С».
Ваши задачи:
•  Участие в проектах по внедрению системы консолидации отчетности (МСФО/бюджетной/управленческой) в роли функционального архитектора
•  Управление командой консультантов по спринтам (2-3 человека)
•  Координация работы методологов, аналитиков
•  Лидирование процесса проработки вариантов архитектур и проектных решений по изменению типовой конфигурации, выполнения оценки реализуемости, оценки преимуществ и недостатков вариантов
•  Защита проектных решений Заказчику с обоснованием какие проблемы и потребности решает тот или иной вариант проектных решений, какие особенности и риски имеет
•  Сбор и анализ требований к системе консолидации отчетности МСФО
•  Проектирование доработок, анализ и оценка проектных решений консультантов
•  Формирование и согласование проектной и пользовательской документации
•  Адаптация альбома отчетных форм к возможностям системы 1С УХ
•  Постановка задач аналитикам и разработчикам 1С
•  Функциональное тестирование внедряемых программных продуктов
•  Обучение и консультирование пользователей
•  Классификация и оценка запросов пользователей
Наши ожидания:
•  Обязательное знание функциональной области «Консолидация отчетности МСФО», «Регламентированный учет», будет плюсом «Бюджетирование» и «Управленческий учет»
•  Опыт работы в данной специфике от 3-х лет
•  Опыт построения архитектур, создания и внедрения систем консолидации и МСФО в холдинговых компаниях на базе 1С:УХ
•  Опыт формирования схем для разных типов архитектур в MS Visio (функциональной, потоков данных, интеграционной, информационных баз) и системное мышление
•  Опыт участия в проектах автоматизации консолидации отчетности по МСФО в крупных холдинговых структурах в роли функционального архитектора
•  Опыт чтения и понимания методологических регламентных документов
•  Опыт проектирования решений на платформе 1С, хорошее знание возможностей платформы 1С
•  Знание и понимание архитектуры и функциональности программного продукта 1С:УХ подтвержденное опытом
•  Аналитическое мышление, нацеленность на результат, умение работать в команде и с конечным заказчиком
•  Презентационные навыки
Будет плюсом:
•  Наличие сертификатов 1С
•  Знание других продуктов 1С
•  Опыт работы в компании-франчайзи 1С
•  Опыт разработки на платформе «1С:Предприятие 8»
Мы предлагаем:
•  Интересные проекты, сплоченную команду экспертов высокого уровня
•  Зп от 150 000 р. До 230 000 р.
•  Гибкий график работы, никакой «армейской дисциплины», полный рабочий день
•  Адекватное руководство и доброжелательную атмосферу в коллективе
•  Онбординг – ознакомление с корпоративной культурой, подходами к решению задач, кураторство и поддержка в период адаптации
•  Для специалистов, планирующих переезд в Москву: помощь в решении вопросов переезда и проживания, компенсация стоимости аренды жилья
•  Индивидуальный план развития с учетом интересов сотрудника
•  Использование единой методологии и практик проектного управления
•  Использование в работе JIVE, JIRA, СППР и др.
•  Оформление по срочному трудовому договору или сотрудничество с вашим  ИП",1C-разработчик
9910,"Product Team Lead (B2B)
в Lamoda — ведущий онлайн-ритейлер в России и СНГ.
Москва.
Описание вакансии.
Откликаться на GeekJob.ru",Product-менеджер
9911,"Руководитель ИТ проектов
в Энерджи консалтинг/Цифровые решения — SAP практика компании представляет одну из ведущих экспертиз на российском рынке по разработке и внедрению ERP-решений на основе программных продуктов SAP.
Москва.
250К — 300К.
Описание вакансии.
Откликаться на GeekJob.ru",Project-менеджер
9912,"Head of Treasury в СберМаркет

teletype.in/@dreamjob/F-pp1kbodXD",non-IT
9913,"#vacancy #kharkiv #recruiter #fulltime #вакансия #харьков

Всем привет! 

Знакомые ищут рекрутера. 

Коротко о компании и позиции:
- продуктовая компания с командой около 50 чел.
- продукт: SaaS решение, базируещееся на ML
- офисы в Украине, США, Азия
- команда HR - 3 специалиста

Кандидату важно:
- опыт от года в рекрутинге и уметь общаться с техническими специалистами
- английский Upper+

Задачи:
- закрывать Tech и non-Tech позиции согласно Hiring Plan 
- соблюдать сроки и бюджеты
- участвовать в построении Recruiting Process
- задачи HR тоже могут быть при желании
——————
Подробнее здесь +380 95 033 0840",IT-рекрутер
9914,"·3·, СПб 

Ведущий кружка по программированию в школу Софтиум

Некоторые задачи:

- Проведение развивающих занятий по программированию для детей 6-14 лет; 
- Общение с родителями об успехах учеников; 
- Написание отчетов о занятии по каждому ребёнку. 

Детали: docs.google.com/document/d/1ChJBe1Xnz4yuGqkR_VDYxX1QfkEEm-S4FPXM3ruiMn8/edit?usp=sharing

Контакт: ale-danilyan@yandex.ru",non-IT
9915,"Младший руководитель проектов
в Infotech Group — российская компания-разработчик программного обеспечения для государственных структур, крупных корпораций, среднего и малого бизнеса.
130К-150К.
Москва.
Описание вакансии https://is.gd/yimXk8
Откликаться на GeekJob.ru
#project #junior #вакансия #москва",Project-менеджер
9916,"CEO
в Oh My Look - самый крупный и технологичный сервис аренды платьев.
Киев.
Ищет Лера Бородина, ее пост http://amp.gs/72rv
Резюме присылать на  job@ohmylook.ua
#ceo #вакансия",non-IT
9917,"Вакансии в Mos.ru
🔹Team Lead (PHP + React JS)
🔹IT Service Manager
🔹Python Developer
Mos.ru — главный портал Москвы, в котором есть городские новости, афиша, информация о Мэре и Правительстве и каталог электронных услуг.
Москва.
Откликаться на GeekJob.ru
#php #javascript #developer #fullstack #teamlead #python #вакансия #москва

Больше вакансий из IT & Digital вы можете найти в наших тематических каналах: https://is.gd/fNG5Op",Несколько вакансий
9918,"#Python #PostgreSql  #msk
Проект HQ Monitor (подробнее - https://hqmonitor.io/) - продукт на стыке психометрики, анализа цифровых следов и больших данных

Обязанности:
• развитие и сопровождение платформы психометрического анализа
• автоматизация процессов обработки, обогащения и нормализации данных
• создание и развитие инфраструктуры, CI/CD
• создание API для клиентов платформы

Требования:
• отличное знание Python
• опыт работы с реляционными базами данных, отличное знание SQL
• опыт работы с CI/CD
• опыт создания s2s API
• опыт работы с системами контроля версий и отслеживания задач

• Москва
• от 150 000 рублей

Контакты:
@iraburlova / jobs@humanteq.io",Backend-разработчик
9920,"Название компании: Lazurit.com
Кого ищем: TeamLead`а, который перерастет в CTO
Формат работы: офис, частичная удаленка (3 офис, 2 удаленно)
Город и адрес офиса: Москва, м. Новокузнецкая
Занятость: полная
Зарплатная вилка: от 200к до 350к на руки
Контакты: @Damir_Mangutov 

Я ищу партнера, который возглавит построение нового для компании отдела - отдела веб разработки.

«Лазурит» — крупнейшая в России сеть по продаже корпусной и мягкой мебели для дома. Мебель под ТМ Lazurit представлена в 170 городах России.
Наш технологический стэк: битрикс, XML, CSS, HTML, Javascript, PHP, 1С.

Мы готовы дать много свободы - предлагай, обосновывай и действуй.

Обязанности:
- разработка/доработка сайта и приложений
- построение, рост, адаптация новых коллег
- работа со сложными интерфейсами и архитектурой

Мы ждем, что:
- Есть опыт работы с высоконагруженными проектами (желательно)
- Выстраивал команду разработки или руководил командой от 5 человек
- План по тому как ты собираешься строить команду мечты
- Опыт выстраивания процессов

Мы готовы предложить:
- Коллег, которые горят продуктом
- Сложные задачи и амбициозные цели (будет 4 продуктовых команды, которые ты будешь возглавлять с технической точки зрения)
- оформление по ТК РФ;
- красивый и просторный офис с техникой на выбор

Подробнее: 
https://www.notion.so/damirmangutov/Team-Lead-CTO-1fc164fc497d43b5b2265192095e7652",Web-разработчик
9921,"#вакансия #СПБ #консультант 1С

Консультант 1С, инхаус
От 40 000 до 65 000 р
Обязанности:
• Сопровождение нетиповой конфигурации УТ11
• консультация и поддержка пользователей
• выявление и фиксирование ошибок в работе функционала
• взаимодействие с аналитиками и разработчиками
Требования:
• Образование высшее/неоконченное высшее;
• Знание типовых механизмов УТ 11 на уровне уверенного пользователя
• Опыт работы от 0,5 года с программными продуктами 1С;
• Опыт работы в качестве консультанта на линии техподдержки по 1С приветствуется;
Условия:
• График 5/2 с 8:00 (9:00) до 17:00 (18:00);
• Место работы: Полюстровский пр.54 (м.Лесная);
• Оформление согласно ТК РФ.

Для связи: @so_vasileva

Ссылка на вакансию
https://hh.ru/vacancy/38874523",Консультант 1С
9922,"·6·

Яндекс.Практикум ищут SMM менеджеров, продюсеров контента в команду маркетинга

— Мы ищем специалистов, которые помогут нам создавать полезный, интересный контент, который выполняет задачи бизнеса. Мы ищем разных специалистов на разные направления продукта.

Детали: notion.so/praktikum/f27ecd61969a45669f7e807bc0257b87

Контакт: ivanov-is@yandex-team.ru",non-IT
9923,"Business Development Manager
в Google Play Apps.
Москва.
Описание вакансии https://is.gd/ZA96dJ
#bizdev #вакансия #москва

Больше вакансий в продажах и развитии бизнеса:
Telegram @forallsales
Facebook https://is.gd/6VTV6A",non-IT
9924,"Директор по маркетингу в один из крупнейших китайских автопроизводителей CHANGAN (Москва)

Китайская автомобилестроительная компания CHANGAN, входящая в тройку крупнейших производителей пассажирского транспорта в стране, ищет в свою команду Директора по маркетингу.

Ключевые задачи нового управленца — это разработка стратегии маркетинговых коммуникаций компании, контроль исполнения бюджета, курирование рекламных компаний и управление event-активностью бренда.

Идеальный кандидат обладает опытом управления маркетинговой функции в автобизнесе и свободно владеет английским языком.

Подробнее по ссылке

#автомобили #uppermiddle #москва #changan",non-IT
9925,"Эксклюзивная вакансия (ищем только мы): Директор административного направления в международную ИТ компанию (Москва)

В международную ИТ-компанию приглашают Директора административного направления.

Перед новым сотрудником будет стоять задача обеспечить жизнедеятельность офисов, распределенных по всему миру, и создать максимально комфортные условия труда для сотрудников.

Важно иметь разговорный уровень английского и опыт организации АХ деятельности с нуля.

Подробнее по ссылке

#ит #top #москва",non-IT
9926,"#PHP #MySQL  #spb
Мы — молодая, креативная и динамично развивающаяся компания. Сотрудничаем с различными заказчиками, в том числе с мировой известностью.

Обязанности:
-Разработка новых сервисов компании.
-Оптимизация и поддержка текущих продуктов.
-Наш стек: PHP7, MySQL (Percona), Redis, MongoDB, RabbitMQ, YouTrack.

Требования:
-Имеете законченное высшее образование.
-Имеете опыт разработки на PHP.
-Умеете использовать Git.
-Знаете ООП, умеете применять на практике паттерны проектирования

• Санкт-Петербург
• от 140 000 до 250 000 р.

Контакты:
телеграм: @katkor
ekaterina.4people@gmail.com",PHP-разработчик
9927,"Специалист по performance-маркетингу в Яндекс

teletype.in/@yojob/HJWVqOrtH

Отзывы о компании Яндекс, этапы отбора и зарплаты на сайте Your Career: bit.ly/yc_yandex",non-IT
9929,"#вакансия #QA #middle #remote # QAengineer #Россия #fulltime #Postman 
Вакансия: QA manual mobile
Компания: Лига Ставок
ЗП: от 120 тыс.руб.
Формат работы: удаленка
Занятость: полная
Мы развиваем букмекерский бизнес в России, поддерживаем отечественный спорт и создаём новую сферу развлечений, содержим благотворительный фонд «Созвездие Добра» имени Олега Журавского для поддержки детско-юношеского спорта, помощи детям-сиротам и детям, находящимся в сложной жизненной ситуации.

👍 Чем предстоит заниматься:
• Проводить ручное тестирование задач по мобильным приложениям (Android, iOs);
• Составлять тест-дизайн, тест-кейсы, чек-листы;
• Заводить и проверять баги приложения;
• Ставить задачи команде автоматизаторов, разбирать результаты автотестов;
• Участвовать в планировании задач на команду, оценивать задачи;
• Проводить ревью ТЗ, взаимодействовать с аналитиками, разработчиками команды;
• Предоставлять отчетность о проделанных работа
👍 Что важно уже знать и уметь:
• Опыт тестирования мобильных приложений (IOS и Android, знание особенностей мобильных приложений, умение работать с Charles, Android Studio);
• Понимание принципов, методов тестирования, тест-дизайна;
• Опыт ревью ТЗ, тест-кейсов;
• Опыт проведения приемочного тестирования;
• Опыт работы с: GIT, CI/CD системами;
• Опыт тестирования API;
• Опыт работы с БД (mssql) на уровне простых запросов
👍 Условия:
• ДМС
• Удалённый формат работы.
• Удобный график работы.
• Оформление согласно ТК РФ, полный соц.пакет.
• Возможность прохождения профильных курсов за счёт Компании.
Контакты для связи: 8-977-572-09-19 (вотсап, телеграмм) Алёна",QA-Инженер
9930,"#pl+ #ibso  #msk
Москва (м. Кожуховская), Банк
Формат работы: офис (5/2, гибкий график)
Занятость: полная

Обязанности:
Разработка подсистемы «Расчетный центр», исправление дефектов промышленной эксплуатации на PL+, разработка кода, проведение ревью кода других разработчиков.

Требования:
PL+, PL/SQL, оптимизация SQL-запросов, знание регулярных выражений Oracle,
Желательно знание «ЦФТ платформа развития», АРМов ЦФТ (Администратор/ Навигатор).
От 2х лет опыта работы.

• Москва
• 160-165К на руки + бонусы

Контакты:
@vikkizzl",PL+ разработчик
9931,"Financing Services Manager в Siemens

teletype.in/@yojob/rJqwrmYeU

Отзывы о компании Siemens, этапы отбора и зарплаты на сайте Dream Job (Your Career): bit.ly/dj_siemens",non-IT
9932,"·2·

В образовательный проект от Ozon – Ozon Education – требуется методист-разработчик школы на языке программирования Golang 

Требования:

- Опыт промышленной разработки от 2-х лет. Предпочтительные языки: Golang, С++, C#, Java, PHP;
- Опыт создания образовательных курсов в сфере IT;
- Методологическая практика.

Детали: hh.ru/vacancy/42394901

Контакт: son.yulij@gmail.com",non-IT
9933,"Lead product analyst
в Timepad — это билетный сервис, который помогает сотням тысяч людей по всей России организовывать события.
Москва.
Ищет Сергей Шульга, его пост.

Больше вакансий для диджитал-аналитиков:
Telegram @foranalysts
Facebook https://is.gd/QitTTU
LinkedIn https://is.gd/tuCROo/",Продуктовый аналитик
9934,"#вакансия #Unity #Москва #удаленка 
Город и адрес офиса:  Москва

Формат работы:  удаленка
Занятость: полная
Зарплатная вилка : от 100 000 до 150 000 рублей
Описание вакансии: игровой проект (мобильная рпг/интерактивная аудио новелла) - создание прототипа, MVP для проверки гипотезы.
-Разрабатывать прототипы на Unity для iOS и Android;
-Внедрять игровые механики и фичи;
-Верстать UI, встраивать анимации, VFX;
-Встраивать и работать с голосовым модулем

Название компании: mail.ru

Документация: стадия препродакшен (концепт документ, ГДД).
Требование: писать качественный код, уметь интегрировать контент в среду разработки, работать в сжатые сроки, быстро реагировать на изменения.
Высылайте резюме и портфолио для ознакомления.

Контакты: @kolesnikovvad",Unity 3D разработчик
