data,label
"#вакансия #россия #удаленка #полнаязанятость #web #senior #voip #middle #мессенджер
✔️Компания: SPIRIT DSP ( https://www.videomost.com/)
Компания, основанная в 1992 году, признанный мировой лидер в области продуктов для передачи голоса и видео по IP-каналам.SPIRIT имеет представительства в США, Китае, Японии, Корее, Германии, Тайване и Сингапуре.
SPIRIT поставляет свои программные продукты на международный и российский рынки телекоммуникаций и интернет-телефонии.
✔️Удаленный режим работы, есть офис в Москве,м. Павелецкая/Пролетарская. Полная занятость
✔️Вилка от 170 000 до 200 000 на руки
🔹Вакансия: Web разработчик
Функционал:
Разработка серверной/клиентской части мессенджера
Требования:
Опыт в разработке корпоративного высоконагруженного мессенджера;
javascript, node.js, php или java
Условия: официальное оформление (белая зп), гибкий график, удаленная работа, ДМС
📌Контакты @Evdokimova_aa - телеграмм, 89633477240 Александра",Web-разработчик
"#вакансия #удаленка #java #kotlin #remote #удаленно #fulltime #blockchain 
Вакансия: Java-developer (middle/senior)
Город: удаленно (есть офисы в городах: Иннополис и СПб)
Формат: fulltime
Вилка: 2500-3000USD (оформление в штат компании)
Контакт: @luzhajka

Компания: японская компания Soramitsu - разработчик собственной блокчейн-платформы Iroha.
Среди проектов компании есть платежные системы на блокчейне как для университетов, так и для центробанков стран мира, так же проекты по децентрализованным государствам и экономикам и много других проектов.

Ищем специалиста в команду нового проекта компании.
Важно хорошее знание современного java-стека, знания в области архитектуры (принципы SOLID и CAP), тестирования и SQL. 
На проекте предстоит работать в распределенных системах с микросервисной архитектурой и, в том числе, писать многопоточный асинхронный код, а также участвовать в разработке архитектуры и проводить кодревью.

Необходимый уровень английского от B1 (есть корпоративные занятия)",Java-разработчик
"Ребят, всем привет, 

Нам в команду нужен дизайнер уровня Junior+ Middle. Вот мы - https://dribbble.com/wimble 
В основном занимаемся мобильной разработкой, но так же есть сложные SaaS решения и другие интересные продукты. 

Готовы рассмотреть ремоут, но желательно находиться в Украине, еще лучше желание переехать в Одессу, летом солнечную и с теплым морем :) 

Жду ваши работы в личке",Web-дизайнер
"• Python разработчик Front-End (middle+/senior) в СИБРУС, Москва, 140 000 RUR",Python-разработчик
"Добрый день! Можем разместить? #1C #Developer на внутренние проекты КГ #Softline
#Вакансия актуальна для РФ: работа возможна в любом офисе компании либо удаленно. Вилка 100-200 по результатам технического собеседования. Описание: https://softline.ru/about/vacancies/1c-developer",1C-разработчик
"#вакансия #react #Москва #удаленка #fulltime #front

Позиция: фронтенд разработчик(реакт/next.js)

Формат работы: удаленка, при желании можно в офис
Город: Москва
Занятость: полная/проектная
Компания: Preon.Tech
ЗП: от 160 000 до 250 000 рублей
Контакты: @bodrov_georgy 
Требуемый опыт работы: 1–3 года

🎯Описание вакансии:
Привет! Мы Preon.Tech IT-акселератор цифровых решений для startup и компаний в отраслях: FinTech, EdTech, банки, GR, ритейл, e-commerce, медицина и промышленность.

🧙Кто нужен и что предлагаем:
Сейчас мы в поиске middle+ / senior frontend разработчика для создания первого MVP платформы.

Приложение будет разрабатываться с нуля. Никакого легаси! Вы сможете оказывать существенное влияние на продукт, работая напрямую с владельцем компании и бэкенд разработчиком.

Никакой бюрократии! Гибкое начало рабочего дня. Дружный коллектив. Возможность работать из дома

🧀В свою очередь, мы предлагаем:
• Работу над продуктом от предположений, до реализации, сбора и анализа метрик;
• Гибкое начало рабочего дня
• Полностью удаленную работу
• Высокий уровень заработанной платы
• Никакой волокиты и бюрократии. Дружный коллектив и другие приятные бонусы
• Компетентную команду CTO, Project manager, Product owner, Analytic, Backend developer

🎨Обязанности:
• Разработка web-сервиса на React
• Написание unit тестов

👾Требования:
• Работа с React от 2х лет
• TypeScript
• Опыт работы с клиент-серверными приложениями (REST API, JSON)
• Практическое знание Git
• React/Redux/Saga
• Next.js .../ (SSR)
• Docker

Контакты: @bodrov_georgy",Frontend-разработчик
"Full Stack Developer
в Дизайн-бюро Артёма Горбунова — компания помогает клиентам создавать новые и улучшать существующие продукты и услуги, которым требуется название, логотип, визуализация, интерфейс, сайт, упаковка, оформление бумажных и электронных изданий.
Удалённая работа.
Описание вакансии https://is.gd/2Zo98N
Откликаться на vasily@artgorbunov.ru
#rubyonrails #ror #fullstack #developer #вакансия #remotework",Fullstack-разработчик
Хороший эвфемизм,0
"Поддержу. Если команду нужно постоянно вытаскивать из «скатывания» на дейли, значит ценности в scrum команда не видит (если это уже сыгранная команда, а не новички).",0
"#вакансия #job #работа #Java #spring #senior #middle #удаленка #удаленнаяработа 

Java/Spring developer (middle, senior)

Компания: КА ТалантиКА
Формат: fulltime, удалёнка
Вилка: 180-220к
Контакты: @kristina_r23

🙋‍♀️Привет, я Кристина! 👤Я ищу опытного Java-разработчика в высоконагруженный проект для крупного государственного заказчика (enterprise). Аудитория проекта - вся Россия. 1,5 млн. пользователей, плановая нагрузка до 100 тыс. запросов в секунду.

🧠Чем предстоит заниматься:
- разработка компонентов микросервисной архитектуры для высоконагруженного проекта;
- участие в проектировании архитектуры.

📚Ты нам подходишь, если:
- хорошо разбираешься в Java 8, Spring Boot 2;
- отлично знаешь PostgreSQL 9.6, RabbitMQ, а также Redis и  микросервисная архитектура.

⭐️Для тебя:
- Работа в сильной, стабильной компании (ТОП 2 компаний России в сфере защиты информации по оценке CNews Analytics (2019г.);
- Интересные задачи. Работа с крупными интересными проектами;
- Зрелые процессы разработки, четкие роли в команде, методология agile (Канбан), полностью автоматизированный CI/CD;
- Code review, еженедельные meet-up на разные профессиональные темы, участие в профессиональных конференциях;
- Выдается ноутбук, на рабочем месте 2 монитора;
- Оформление в соответствии с ТК РФ (все выплаты в ""белую"");
- Расширенный социальный пакет (ДМС, 100% оплачиваемый больничный);
- Разнообразные программы обучения сотрудников;
- Возможности для повышения квалификации и сертификации;
- Дружный коллектив профессионалов, вся команда работает In-house;
- Удобный современный офис класса А.
Полный рабочий инструментарий. Кофе, чай;
Шаговая доступность от метро - м. Динамо (2 мин.) или м.Петровский Парк (1 мин.)

Заинтересовала вакансия?✍️Тогда пиши мне @kristina_r23",Java-разработчик
"Senior Project manager
СРМ Солюшнс — компания реализует автоматизированные маркетинговые решения через собственную Saas-платформу для сбора и накопления всех доступных данных о потребителе из разрозненных информационных и маркетинговых каналов, их агрегирования в единую базу данных для обогащения, персонализации маркетинга и медиа оптимизации с применением алгоритмов ML и методов BigData.
120К.
Москва.
Описание вакансии https://is.gd/B7XWqt
Откликаться на GeekJob.ru
#project #вакансия #москва",Project-менеджер
"и что, на каждом собеседовании вас готовы были к базе данных подпустить?",0
"#jobs

17 февраля стартует Kolesa Academy Data Analysis🚀

Kolesa Academy — оплачиваемая трехмесячная стажировка по IT-направлениям в компании Kolesa Group. Участие в академии — это путевка в профессию для начинающих специалистов, которые хотят получить реальный опыт работы в крупной продуктовой IT-компании.

В феврале 2020 года компания Kolesa Group впервые запустит поток Kolesa Academy, посвящённый анализу данных. 

Кандидатам необходимо оставить заявку на сайте https://job.kolesa.kz/academy, пройти тест и собеседование. 

Город: Алматы 
Вилка: 100к в месяц + оплата жилья иногородним кандидатам
По окончании стажировки лучшие получат предложения о работе от Kolesa Group. 
График: полный рабочий день, 5/2, с 9:00 до 18:00

Это НЕ только для студентов, но также и для тех, кто уже работает, но хотел бы сменить профессию/компанию. 

Заявки принимаются до 31 января 2020 года. Спеши!
https://job.kolesa.kz/academy",0
евроамбар? евроремонт? евро 2020? евро за 40 руб?,0
"Lead product manager
Москва.

Продукт:
Активно растущий маркетплейс финансовых продуктов
Один из лидеров в своем сегменте, растет на 30-40% год от года
MAU более 10 млн (уникальных).

Основные задачи: развитие текущих продуктовых направлений; построение прозрачной системы работы над продуктом, определение ключевых продуктовых метрик; управление и развитие команды продактов; исследование и постоянное изменение пользовательского пути через анализ рынка, аналитику, эксперименты; участие в формировании единой дизайн системы для всех продуктов маркетплейса.

KPI: конверсия, выручка, NPS.

Подробнее.
Ищет Анна Любимова lubimova@new.hr


Больше вакансий для продактов и проджектов:
Telegram @forproducts
Facebook",Product-менеджер
"Product Owner
в М.Видео-Эльдорадо.
Москва.
Описание вакансии https://is.gd/HUrXrJ
Откликаться на GeekJob.ru
#product #вакансия #москва",Product Owner
"#Киев #kiev #remoute #remote #vacancy #php #developer #junior #fullstek #ukraine #html # cms                                    Говорят, найти родственную душу нелегко. Но мы, в компании  ""Kenner Soft"", думаем, что быстро её отыщем. Главное, твой отклик)
И прежде чем примешь решение, ты должен кое-что знать: 

По статистике - количество покупок в интернете в 2021 году достигнет 17,5% от общих продаж, а в 2023 - 22% всех покупок будут осуществляться онлайн.
 - За первое полугодие 2020 году в условиях пандемии в Украине доля e-commerce выросла на 45%; 
- Общая сумма от онлайн-продаж с января по ноябрь 2020 достигла 107 млрд грн - это на 41% больше, чем за аналогичный период 2019 года.

Это подтверждает, что ecommerce проекты компании ""Kenner Soft"" будут популярны с каждым годом все больше. 
Сейчас нужны Strong Junior PHP разработчики на три онлайн магазина, которые интегрированы с ERP и eBay в автомобильной тематике. В магазине часть кода является Легаси PHP 5, XT Commerce. Другая часть на базе Oxid eSales.

""Kenner Soft"" - на рынке уже почти 10 лет, и успешно реализовала более 500 проектов (e-commerce, CRM и B2B порталы). Компания насчитывает более 20 специалистов в Украине.

Всё что тебе нужно, это:
 - Опыт работы в качестве PHP разработчика от 1,5 года; 
- Хорошие знания JavaScript, jQuery, HTML, CSS. 

Мы предлагаем работать не за идею и печеньки (хотя, они тоже есть в офисе), но и на таких взрослых условиях: конкурентный уровень з/п примерно 2200 евро, оплачиваемый отпуск - 24 дня, помощь в ведении бухгалтерии, оплата курсов и конференций.

Надеюсь, ты уже подумал и влюбился в  компанию Kenner Soft)

 Так, что я жду твоего отклика)",Web-разработчик
"#вакансия #Automation #QAEngineer #QA 
Вакансия: QA (Специалист по автоматизированному тестированию) 
Компания: BIV Group-Мы - развивающаяся IT компания. Уже 10 лет мы являемся надежным поставщиком услуг для ведущих компаний страхового и финансового рынков.
Приглашаем: QA engineer принять участие в проекте по развитию автоматизированной банковской системы.
Локация: Можно полностью удаленно, но для тех кто хочет общаться с коллегами, то офис наш в г.Санкт-Петербурге находится в центре, на улице Марата.
ЗП:  110
Контакты: nkrasnova@bivgroup.ru
Telegram @nelli_krasnova 

Задачи: 
•  Разработка автоматизированных тестов;
•  Разработка тестовой документации;
•  Подготовка тестовых стендов;
•  Проведение запусков автоматизированных тестов;
•  Анализ результатов тестирования;
•  Подготовка отчета по результатам прогона автотестов.
Наши ожидания:
•  Опыт работы тестировщиком - от 1 года;
•  Опыт работы с инструментами автоматизированного тестирования: Pytest, selenium, request (одним или двумя);
•  Опыт работы с системой контроля версий – Git
•  Знание принципов реляционных БД
•  Опыт работа с Linux
•  Начальные знание Python
•  Умение работать в команде, ответственность, самостоятельность.
Предлагаем:
Компенсацию питания в офисе;
Трудоустройство по ТК",QA-Инженер
"Frontend Team Lead / Senior developer (Angular)
в Лабораторию Касперского.
Возможна удаленная работа.
Описание вакансии http://amp.gs/kr1y
#developer #frontend #angular #remotework #teamlead #вакансия 

Больше вакансий во фронтенде:
Telegram http://amp.gs/kr1v
VKontakte http://amp.gs/kr1h
Facebook http://amp.gs/kr1k",Frontend-разработчик
"#Java #Android  #msk
Eliot (eliot.store)- агрегатор ресторанов, позволяющий получать информацию о скидках и акциях, зарезервировать столик, оформить заказ, рассчитать его стоимость и многое другое

Обязанности:
разработка android приложения;
внедрение новых фич

Требования:
Опыт разработки коммерческих приложений для Android от 2-х лет;
Понимание REST
Понимание модели MVP, Clean Architecture и структуры JSON
Опыт работы с Git, Gradle, Fabric, Android Studio
Знание ООП;
Опыт работы с Retrofit, RxJava

• Москва
• от 120к до 150к

Контакты:
@ru_spiridonov или might.is.real@gmail.com",Java-разработчик
"#вакансия #middle #frontend #remote

Позиция: Middle QA Engineer
Компания: StudyWorld
Локация: СПб, м. Спортивная
ЗП: от 90 000 до 150 000 руб.
Формат: #офис / #удаленка

Всем привет!
Меня зовут Руслан и я рекрутер Studyworld - EdTech компании, развивающей масштабные сервисы на российском и зарубежном рынке.
Наша команда – более 130 человек, 5 проектов, которые более 8 лет помогают студентам по всему миру. Территория охвата – США, Канада, Южная Америка, Россия и страны СНГ.

К нам обращаются за консультациями, помощью с выполнением работ, написанием речей или созданием презентаций. Но не один проект не может жить без хорошего SEO и потому нам нужны свежие мозги и крепкие руки в лице Middle Frontend разработчика в проект Южной Америки для воплощения наших планов.

Основная часть работы будет связана с нашим блогом, различными страницами направленными на SEO продвижение и другими брендовыми страницами. Скорее всего с React-стеком и другими фреqмворками работать не придется: почти все что мы делаем верстается на чистом HTML и приправляется небольшим количеством логики на чистом JS. А вот что точно нужно сделать — это погрузиться на очень серьезный уровень работы со стилями и версткой. Во всех наших новых страницах мы взяли курс на уход от стандартных практик верстки в сторону доступности и настоящей адаптивности наших макетов.

Нам нужен человек, который:
- Имеет целостный бэкграунд: закончил ли институт по профильной специальности, проходил ли курсы, читал ли книги или блоги, ведет ли свой блог — не имеет значения. У человека должны быть бэкграунд и насмотренность;
- Имеет мировоззрение: человек попробовал свою школу в деле, обжигался, совершал ошибки, коллекционировал хорошие решения и теперь имеет понимание того, какими должны быть хорошие продукты, и его понимание глубже, чем ""нужно делать как нужно, а как не нужно делать не нужно"". Наш напарник должен иметь мнение и уметь его аргументированно выражать;
- Поддерживает актуальность знаний: человек должен разбираться в современном фронтенде — какие сейчас есть инструменты, тенденции. На своем стеке человек должен уметь сесть и сделать не слишком сложный продукт;
- Знает основы веба — доступность, семантика, ванильный JavaScript.

Необязательные требования:
- Примерное понимание работы PHP (писать на нем не придется, но это ускорит коммуникации с бэкендерами);
- Опыт в оптимизации веба на практике — профилировщики, оценка сложности алгоритмов, понимание тонкостей работы браузеров с точки зрения производительности.

Что мы можем предложить:
- Официальное оформление согласно ТК РФ;
- Care bonus — это ДМС после испытательного срока, оплата обучения, поездки на конференции и все интересующее тебя для личного развития. Внутренний университет — мы приглашаем технических спикеров для освещения интересующих тем;
- Удаленка или двухэтажный open space c собственной террасой и велопарковкой на территории БЦ. В офисе есть все необходимое для комфортной работы и времяпрепровождения

По всем вопросам @ru_spiridonov",QA-Инженер
"#qa #vacancy #вакансия  #работа 

Мы ищем QA инженера (middle/senior/lead, которому предстоит вместе с нами решать сложные и интересные задачи.

Компания: крупный банк
Город: рассмотрим ребят из любого города в России
Вилка: 150 - 315k на руки
Формат: удаленка/офис/гибрид
Telegram: @skrtatyana

🚀🚀🚀

Чем предстоит заниматься:

✔️самостоятельно проводить функциональное, регрессионное, интеграционное и др. виды тестирования
работать в продуктовой команде в рамках Agile процессов (в том числе работа с ошибками)
✔️заниматься тестовой документации, нужной на проекте (в том числе разработка приемочных критериев)
✔️готовить тестовые данные
✔️сопровождать релизы
✔️разрабатывать автотесты с помощью уже разработанных средств, их выполнять и анализировать результаты
✔️составлять отчеты по результатам работ
проводить или контролировать работы по поддержанию работоспособности тестовых стендов на своем продукте.

Что ожидаем от тебя:

🔹Знание различных моделей жизненного цикла ПО
🔹Знание свойств качественных требований и техники тестирования требований
🔹Применение основных техник тест-дизайна (граничные значения, классы эквивалентности, попарное тестирование, метод предугадывания ошибки, причина-следствие) при написании тест-кейсов
🔹Составление чек-листов, тест-плана под задачу
🔹Написание понятной другим тестировщикам документацию в формате инструкций, чек-листов и тест-кейсов по знакомым проектам
🔹Знание основных инструментов тестирования API (Postman, SoapUI и тд)
🔹Знание базовых типов API (rest, soap, RPC)
🔹Знание HTTP запросов на базовом уровне, знание HTTP статусов
🔹Умение интерпретировать ответ от API (читать структуру response, статус ответа, понимать информацию в теле ответа.)
Знание типов данных и их преобразование (SQL)
🔹Умение составлять запросы с вложенными запросами, использование JOIN

Что предлагаем:

🔸Удаленная работа или работа в комфортном офисе
🔸Профессиональное развитие. Мы постоянно проводим митапы, тренинги и мастер-классы. В твоем распоряжении огромная библиотека с технической литературой
🔸Забота о здоровье. Оформим полис ДМС со стоматологией и страховку от несчастных случаев. Для твоих близких предложим льготные условия страхования
🔸Достойная твоего профессионального уровня зарплата
🔸И другие преимущества в зависимости от города проживания.

📌Для связи @skrtatyana",QA-Инженер
"#вакансия #java_developer

Java (middle\senior) Developer 

Компания: Иннотехнум 
Локация: Москва
ЗП вилка: от 200 000 до 300 000 р.


Обязанности: Создание единой базы учета предметов залога, для того, чтобы обеспечить пообъектный учет залогового портфеля по всем договорам. 


По тех. стеку ключевые навыки: Java EE Enterprise Edition, Java SE, SQL, Spring, PostgreSQL, Git BitBacket


Мы предлагаем:
- Полное соответствие ТК РФ
- Конкурентную заработную плату (выраженную в фиксированном ежемесячном окладе)
- ДМС по окончании испытательного срока
- Скидки от компаний-партнёров
- Льготное кредитование и страхование
- Оплачиваемые программы рекомендаций для сотрудников компании

Для отклика и по всем вопросам обращайтесь в Telegram @isidorkina или email isidorkina.liga@gmail.com",Java-разработчик
"Высказывать мнение, отличающееся от вашего - это означает поливать грязью и набрасывать?

Ещё один умелый фасилитатор в теме!

Что общего - оба молодые РПшники.

Друзья, вы путаете разборки на тему какая футбольная команда сильнее (с поливанием грязью оппонентов, да) с дискуссиями на профессиональную тему о перспективах рынка труда как мне кажется.",0
"Менеджер проектов
в We Love Nocode — компания занимается разработкой веб-приложений и мобильных приложений для стартапов, малого и среднего бизнеса.
Ищет Никита Шевченко, его пост.",Project-менеджер
"Банк «Открытие» ищет финансового аналитика центра расчета мотивационных показателей (Москва)
 
Важен опыт разработки систем мотивации, опыт работы аналитиком бизнес-подразделений или финансового департамента от 2-х лет. Наличие опыта написания требований к автоматизации отчетности. Знание основ экономического анализа. Приветствуются знания МСФО, а также трансфертного ценообразования. Знание Excel на уровне уверенного пользователя, SQL на уровне уверенного пользователя, знание VBA приветствуется.

Возможность отклика по ссылке
 
#банк #middle #Москва #Открытие",Бизнес-аналитик
"• Программист Python в Тензор, Ярославль, 61 000 — 90 000 RUR",Python-разработчик
